,Date,Open,High,Low,Close,Volume
0,1/2/2013,17.91833878,18.10713005,17.84685516,18.0137291,102033017
1,1/3/2013,18.05557251,18.22991943,17.95071602,18.0241909,93075567
2,1/4/2013,18.1654129,18.4675293,18.12406731,18.38035583,110954331
3,1/7/2013,18.31759071,18.41547394,18.19629669,18.30015755,66476239
4,1/8/2013,18.31983376,18.33876228,18.04311943,18.2640419,67295297
5,1/9/2013,18.23838806,18.3898201,18.14698029,18.38409233,81291563
6,1/10/2013,18.5014019,18.55545044,18.2690239,18.46777725,73703226
7,1/11/2013,18.48073006,18.49143982,18.33876228,18.43066788,51600690
8,1/14/2013,18.35619545,18.48571014,17.99131393,18.0137291,114985384
9,1/15/2013,17.91609573,18.30638313,17.73602104,18.05557251,157696879
10,1/16/2013,17.99255943,18.0408783,17.7751236,17.81298256,81239368
11,1/17/2013,17.87574768,17.92381668,17.7091217,17.7165947,88791570
12,1/18/2013,17.69268227,17.75270844,17.46777534,17.5469799,129555794
13,1/22/2013,17.5507164,17.56765175,17.32306862,17.50613213,152264594
14,1/23/2013,18.33104134,18.65507507,18.32605934,18.46827507,237249950
15,1/24/2013,18.46180153,18.85009575,18.44361877,18.78483963,135815168
16,1/25/2013,18.69916153,18.89119148,18.68620872,18.77139091,89369729
17,1/28/2013,18.72381973,18.81945992,18.62742996,18.69816589,65327951
18,1/29/2013,18.59903526,18.85308456,18.59380531,18.77163887,70145942
19,1/30/2013,18.77313423,18.95271111,18.75246048,18.77537537,69579828
20,1/31/2013,18.69268417,18.86977005,18.68620872,18.82170105,65613015
21,2/1/2013,18.88421631,19.34250069,18.88172722,19.31759262,150405652
22,2/4/2013,19.12058067,19.18982124,18.88596153,18.9046402,122075862
23,2/5/2013,18.95719337,19.20576286,18.91584969,19.07201385,75108474
24,2/6/2013,18.9058857,19.25183868,18.8916893,19.18235016,83435569
25,2/7/2013,19.17064476,19.39754295,19.06603622,19.27649689,114033831
26,2/8/2013,19.43041992,19.5933094,19.41622353,19.56093025,121256803
27,2/11/2013,19.38733292,19.50190163,19.2715168,19.48745537,87037018
28,2/12/2013,19.47076988,19.62394524,19.41149139,19.44461632,74638720
29,2/13/2013,19.43041992,19.56043243,19.42643547,19.49841499,48107646
30,2/14/2013,19.42045784,19.64486694,19.37163925,19.62195206,69672173
31,2/15/2013,19.61149025,19.75744438,19.60327148,19.74822807,109601278
32,2/19/2013,19.82543945,20.09966278,19.80775642,20.09592628,117711564
33,2/20/2013,20.05731964,20.14872742,19.72083092,19.73751831,110982436
34,2/21/2013,19.87550163,20.06105614,19.70663452,19.81398201,140781714
35,2/22/2013,19.90688324,19.9564476,19.7708931,19.91809273,82463941
36,2/25/2013,19.98259926,20.13478088,19.68845367,19.69542694,92501423
37,2/26/2013,19.80078125,19.82444382,19.53677177,19.67948532,88430220
38,2/27/2013,19.79579926,20.04362106,19.70389557,19.91983604,81347773
39,2/28/2013,19.95271111,20.09941292,19.9509697,19.9552021,90971711
40,3/1/2013,19.87051964,20.10314751,19.8294239,20.07948685,87342157
41,3/4/2013,20.05731964,20.49418259,20.04984856,20.4608078,111440145
42,3/5/2013,20.64586449,20.92531776,20.64511681,20.88671112,162370331
43,3/6/2013,20.94723511,21.02120781,20.64287567,20.70688629,115350748
44,3/7/2013,20.77363586,20.83739662,20.66205406,20.73727226,82415761
45,3/8/2013,20.78459358,20.79505539,20.54922676,20.71037292,116912581
46,3/11/2013,20.71460724,20.91410828,20.7098732,20.79256439,64027093
47,3/12/2013,20.6901989,20.71958733,20.51485443,20.61298752,80633104
48,3/13/2013,20.62021065,20.68969917,20.48098183,20.55570221,65898080
49,3/14/2013,20.59754562,20.59754562,20.35844231,20.46180344,66295564
50,3/15/2013,20.38608742,20.43091965,20.25757027,20.28148079,124452737
51,3/18/2013,20.04984856,20.24312401,19.96192741,20.11933708,73807616
52,3/19/2013,20.20526695,20.40476799,20.0859623,20.20725822,84242583
53,3/20/2013,20.34449387,20.36142921,20.21024704,20.29169273,58771467
54,3/21/2013,20.20651054,20.346735,20.17064476,20.20576477,59325536
55,3/22/2013,20.29243851,20.30489159,20.16541481,20.1821022,59751126
56,3/25/2013,20.23440552,20.40427017,20.0951786,20.16541481,68736680
57,3/26/2013,20.26155472,20.2740078,20.11933708,20.23465538,47854701
58,3/27/2013,20.09169006,20.09966278,19.95844078,19.99156761,86852328
59,3/28/2013,20.02469254,20.05906487,19.75844193,19.78060722,91855009
60,4/1/2013,19.80103111,19.98135567,19.75719452,19.95495415,72562968
61,4/2/2013,20.03839111,20.29468155,20.0249424,20.25009727,81966082
62,4/3/2013,20.26055717,20.27898979,19.94200134,20.07973671,69800653
63,4/4/2013,20.03116798,20.06852722,19.7086277,19.80252457,98270968
64,4/5/2013,19.57811546,19.60128021,19.33751869,19.50314713,137870844
65,4/8/2013,19.3960495,19.41597366,19.13826561,19.29891205,113708616
66,4/9/2013,19.31510162,19.5205822,19.25557518,19.36865234,86615444
67,4/10/2013,19.49991035,19.73477936,19.32755661,19.68073273,79440651
68,4/11/2013,19.74798012,19.75345993,19.52830315,19.68596268,81452163
69,4/12/2013,19.72581291,19.72855377,19.50015831,19.67749405,65713390
70,4/15/2013,19.57537651,19.85059547,19.35296059,19.47525215,98491793
71,4/16/2013,19.59131622,19.82568741,19.52481651,19.76018333,69941178
72,4/17/2013,19.59530258,19.69717026,19.37985992,19.49094391,81785407
73,4/18/2013,19.56043243,19.57164192,18.96043205,19.07624817,133398142
74,4/19/2013,19.15719414,20.01099396,19.08496475,19.92207718,232998073
75,4/22/2013,19.94025993,20.02394485,19.30264854,19.92805481,115768308
76,4/23/2013,19.95022202,20.31136894,19.9342804,20.12207794,92035684
77,4/24/2013,20.12730789,20.37363434,20.12456894,20.26030922,73438237
78,4/25/2013,20.33004761,20.33552742,20.11535263,20.15196419,79986690
79,4/26/2013,20.11460686,20.11809158,19.84013367,19.96068192,99880980
80,4/29/2013,20.00626183,20.49069595,20.00003433,20.40003586,92376959
81,4/30/2013,20.3985405,20.6137352,20.36566353,20.5372715,92613843
82,5/1/2013,20.50464439,20.54100609,20.33278847,20.43415833,58418148
83,5/2/2013,20.42593956,20.78583908,20.3997879,20.66280174,81034603
84,5/3/2013,20.84586525,21.0909462,20.82195473,21.06404686,100880714
85,5/6/2013,21.1273098,21.4657917,21.1273098,21.45831871,85973045
86,5/7/2013,21.49468231,21.51610184,21.18733406,21.35072136,78653713
87,5/8/2013,21.34499359,21.7654171,21.24312592,21.75919151,99102072
88,5/9/2013,21.68970108,21.90937805,21.62469482,21.7056427,88353936
89,5/10/2013,21.80103493,21.93129539,21.72257805,21.92357445,76192522
90,5/13/2013,21.89019966,21.9793663,21.75296593,21.85632706,58157173
91,5/14/2013,21.85557938,22.13428497,21.84661484,22.0946846,63408784
92,5/15/2013,22.30389977,22.82394981,22.26703835,22.8117466,160033605
