subscriber_count,request_count,total_hash_ops,avg_hash_ops_per_request,avg_hash_ops_per_subscriber_per_request,avg_latency_us,min_latency_us,max_latency_us
1,30,240,8.0,8.0,235.001266666283,160.09699999131044,445.2579999565387
5,30,1200,40.0,8.0,339.54693333839714,279.7929999474036,552.7710000023944
10,30,2400,80.0,8.0,497.7190000014768,433.2620000013776,587.1879999972407
25,30,6000,200.0,8.0,1090.2202666708642,917.1280000259685,1451.5160000314609
50,30,12000,400.0,8.0,1970.3877999935078,1810.156999965784,2139.935999991849
75,30,18000,600.0,8.0,2562.256966664715,2398.4430000041357,2965.367999991031
100,30,24000,800.0,8.0,3637.8991666670872,3354.07000000032,4061.970000009296
125,30,30000,1000.0,8.0,4403.16506666439,4102.380000006178,4874.579999977868
150,30,36000,1200.0,8.0,5466.439300001487,4957.257999990361,7177.767000030144
